"Freq [GHz]","re(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'","im(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'"
11.91,4.13554891423829,-15.6575016437248
11.92,4.07044288565325,-15.5568688021872
11.93,4.00738819852267,-15.4582915898243
11.94,3.94629918322293,-15.3617121424276
11.95,3.8870945267954,-15.2670741985069
11.96,3.82969701699535,-15.1743230679616
11.97,3.77403330328322,-15.083405598947
11.98,3.72003367353043,-14.9942701433591
11.99,3.66763184530682,-14.9068665213018
12,3.61676477070472,-14.8211459848513
12.01,3.56737245373401,-14.7370611813829
12.02,3.51939777939872,-14.6545661166917
12.03,3.47278635363045,-14.5736161180999
12.04,3.4274863533198,-14.4941677977165
12.05,3.38344838574157,-14.416179015988
12.06,3.34062535672482,-14.3396088456568
12.07,3.29897234696621,-14.2644175362232
12.08,3.25844649592945,-14.1905664789926
12.09,3.21900689281684,-14.1180181727697
12.1,3.18061447413496,-14.0467361902552
12.11,3.14323192741229,-13.9766851451843
12.12,3.10682360065965,-13.9078306602369
12.13,3.07135541719226,-13.8401393357469
12.14,3.03679479546166,-13.7735787192223
12.15,3.00311057356938,-13.7081172756881
12.16,2.97027293815914,-13.6437243588575
12.17,2.93825335740407,-13.5803701831294
12.18,2.90702451782767,-13.5180257964113
12.19,2.87656026471326,-13.4566630537587
12.2,2.84683554587584,-13.3962545918239
12.21,2.81782635858402,-13.3367738041006
12.22,2.78950969943633,-13.2781948169523
12.23,2.7618635170076,-13.2204924664099
12.24,2.73486666709527,-13.1636422757206
12.25,2.70849887040604,-13.107620433634
12.26,2.68274067253452,-13.0524037734049
12.27,2.65757340609506,-12.9979697524964
12.28,2.63297915487768,-12.9442964329645
12.29,2.60894071990674,-12.8913624625044
12.3,2.58544158729007,-12.8391470561409
12.31,2.56246589775244,-12.7876299785428
12.32,2.53999841775516,-12.7367915269437
12.33,2.51802451210924,-12.6866125146493
12.34,2.49653011799538,-12.6370742551136
12.35,2.47550172031082,-12.5881585465657
12.36,2.45492632826625,-12.5398476571691
12.37,2.43479145316224,-12.4921243106956
12.38,2.41508508727875,-12.4449716726981
12.39,2.3957956838151,-12.3983733371638
12.4,2.37691213782166,-12.3523133136329
12.41,2.3584237680687,-12.3067760147652
12.42,2.34032029980054,-12.2617462443423
12.43,2.32259184832648,-12.2172091856854
12.44,2.30522890340309,-12.1731503904804
12.45,2.288222314365,-12.129555767989
12.46,2.27156327596384,-12.0864115746396
12.47,2.25524331487764,-12.0437044039782
12.48,2.23925427685478,-12.001421176971
12.49,2.22358831445911,-11.9595491326431
12.5,2.20823787538474,-11.9180758190443
12.51,2.19319569131033,-11.8769890845279
12.52,2.17845476726528,-11.8362770693324
12.53,2.16400837148092,-11.7959281974554
12.54,2.14985002570238,-11.7559311688093
12.55,2.1359734959366,-11.7162749516477
12.56,2.12237278361534,-11.6769487752545
12.57,2.10904211715153,-11.6379421228852
12.58,2.09597594386931,-11.5992447249515
12.59,2.0831689222891,-11.5608465524407
12.6,2.07061591474996,-11.5227378105621
12.61,2.05831198035266,-11.484908932611
12.62,2.0462523682072,-11.4473505740439
12.63,2.03443251097044,-11.4100536067562
12.64,2.02284801865912,-11.3730091135573
12.65,2.01149467272529,-11.3362083828328
12.66,2.0003684203811,-11.2996429033899
12.67,1.98946536916117,-11.2633043594799
12.68,1.97878178171093,-11.2271846259878
12.69,1.96831407079047,-11.1912757637886
12.7,1.95805879448323,-11.1555700152588
12.71,1.94801265159998,-11.1200597999432
12.72,1.93817247726919,-11.0847377103662
12.73,1.92853523870425,-11.0495965079872
12.74,1.9190980311404,-11.0146291192922
12.75,1.90985807393202,-10.9798286320172
12.76,1.90081270680433,-10.9451882915012
12.77,1.891959386251,-10.9107014971602
12.78,1.88329568207199,-10.8763617990823
12.79,1.87481927404424,-10.8421628947365
12.8,1.8665279487201,-10.8080986257936
12.81,1.85841959634661,-10.774162975053
12.82,1.85049220790089,-10.7403500634749
12.83,1.84274387223601,-10.7066541473108
12.84,1.83517277333237,-10.6730696153319
12.85,1.82777718764989,-10.6395909861504
12.86,1.82055548157598,-10.6062129056302
12.87,1.81350610896608,-10.5729301443871
12.88,1.80662760877109,-10.5397375953701
12.89,1.79991860274901,-10.5066302715266
12.9,1.79337779325636,-10.4736033035452
12.91,1.78700396111598,-10.4406519376736
12.92,1.78079596355775,-10.4077715336121
12.93,1.77475273222911,-10.3749575624757
12.94,1.76887327127177,-10.3422056048264
12.95,1.76315665546226,-10.3095113487711
12.96,1.75760202841321,-10.2768705881233
12.97,1.75220860083215,-10.2442792206277
12.98,1.74697564883621,-10.2117332462427
12.99,1.74190251231921,-10.1792287654834
13,1.73698859336972,-10.1467619778176
