"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
9,1.76592306946782,11.8968404803604
9.01,1.77721416771434,11.9106860788091
9.02,1.78866425024581,11.9249938886437
9.03,1.80027574023234,11.9397715409499
9.04,1.81205114808761,11.9550268216592
9.05,1.82399307399871,11.9707676751199
9.06,1.83610421054634,11.9870022077764
9.07,1.84838734541922,12.0037386919583
9.08,1.86084536422671,12.0209855697849
9.09,1.87348125341389,12.0387514571872
9.1,1.88629810328345,12.057045148053
9.11,1.89929911112901,12.0758756184988
9.12,1.91248758448473,12.0952520312719
9.13,1.92586694449612,12.1151837402893
9.14,1.93944072941762,12.1356802953157
9.15,1.95321259824232,12.156751446787
9.16,1.96718633446948,12.1784071507842
9.17,1.98136585001642,12.2006575741625
9.18,1.99575518928087,12.2235130998418
9.19,2.01035853336046,12.2469843322624
9.2,2.02518020443667,12.2710821030148
9.21,2.04022467033043,12.2958174766474
9.22,2.0554965492373,12.3212017566588
9.23,2.07100061465045,12.3472464916822
9.24,2.08674180047976,12.3739634818684
9.25,2.10272520637649,12.4013647854739
9.26,2.11895610327271,12.429462725662
9.27,2.13543993914566,12.458269897526
9.28,2.15218234501742,12.4877991753395
9.29,2.16918914120107,12.5180637200451
9.3,2.18646634380504,12.5490769869888
9.31,2.20402017150754,12.5808527339092
9.32,2.22185705261466,12.6134050291915
9.33,2.23998363241489,12.6467482603955
9.34,2.25840678084521,12.6808971430683
9.35,2.27713360048324,12.7158667298521
9.36,2.29617143488172,12.7516724198981
9.37,2.31552787726205,12.7883299685981
9.38,2.33521077958432,12.825855497646
9.39,2.35522826201313,12.8642655054412
9.4,2.37558872279829,12.9035768778482
9.41,2.39630084859154,12.9438068993232
9.42,2.41737362522141,12.984973264425
9.43,2.43881634894921,13.0270940897233
9.44,2.46063863823082,13.0701879261191
9.45,2.48285044601037,13.1142737715949
9.46,2.50546207257303,13.1593710844089
9.47,2.52848417898633,13.2054997967536
9.48,2.55192780116036,13.2526803288932
9.49,2.57580436455958,13.3009336038018
9.5,2.60012569960101,13.3502810623199
9.51,2.62490405777463,13.4007446788499
9.52,2.65015212852537,13.4523469776121
9.53,2.67588305693728,13.505111049484
9.54,2.70211046226348,13.5590605694433
9.55,2.72884845734815,13.6142198146414
9.56,2.7561116689893,13.6706136831311
9.57,2.78391525929433,13.7282677132729
9.58,2.8122749480837,13.7872081038504
9.59,2.84120703640114,13.8474617349187
9.6,2.87072843119275,13.9090561894179
9.61,2.90085667122126,13.9720197755815
9.62,2.93160995428561,14.0363815501692
9.63,2.9630071658212,14.1021713425608
9.64,2.99506790895997,14.1694197797406
9.65,3.02781253613563,14.238158312212
9.66,3.06126218232425,14.3084192408754
9.67,3.09543880001643,14.3802357449106
9.68,3.13036519602393,14.4536419107011
9.69,3.16606507023001,14.5286727618422
9.7,3.20256305640041,14.6053642902748
9.71,3.23988476517959,14.6837534885901
9.72,3.27805682940522,14.7638783835493
9.73,3.31710695188304,14.8457780708657
9.74,3.35706395577417,14.9294927512981
9.75,3.39795783775688,15.015063768105
9.76,3.43981982413674,15.1025336459118
9.77,3.48268243009084,15.1919461310429
9.78,3.52657952224475,15.2833462333742
9.79,3.5715463847955,15.3767802697607
9.8,3.61761978940838,15.4722959090976
9.81,3.66483806913231,15.5699422190709
9.82,3.71324119659567,15.6697697146588
9.83,3.76287086676441,15.7718304084427
9.84,3.81377058456362,15.876177862789
9.85,3.86598575768718,15.9828672439612
9.86,3.91956379494381,16.0919553782264
9.87,3.97455421051323,16.203500810014
9.88,4.03100873451533,16.3175638621879
9.89,4.08898143032521,16.4342066984921
9.9,4.14852881909986,16.5534933882243
9.91,4.20971001201828,16.6754899731953
