"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
9,124.998271774976,93.5435465376978
9.01,160.058169949178,85.9422760144642
9.02,195.881956584363,60.5443794954994
9.03,218.981188281013,15.9829687418167
9.04,217.099716807533,-35.6212975288183
9.05,192.907306179376,-76.3775158970648
9.06,159.973740711648,-98.7813905628011
9.07,128.950969567008,-106.345200993852
9.08,103.720952448524,-105.214948484849
9.09,84.3412628936712,-99.8779790576507
9.1,69.690980379806,-92.8517226585323
9.11,58.5859288607285,-85.3876427114183
9.12,50.0783808736826,-78.0589647086877
9.13,43.4732049061518,-71.1013923922546
9.14,38.2749005259467,-64.5891427102079
9.15,34.1319612068281,-58.5220872508741
9.16,30.7936140956557,-52.8681124425228
9.17,28.0791311649723,-47.5834143796923
9.18,25.8567490412838,-42.6219762732272
9.19,24.0293113053288,-37.9397493488091
9.2,22.5244680333389,-33.4962542798723
9.21,21.2879399377474,-29.2549475963585
9.22,20.2788504444618,-25.1830201822672
9.23,19.4664671909266,-21.2509574520457
9.24,18.8279183726503,-17.4320212069376
9.25,18.3465966262689,-13.7017276350864
9.26,18.0110605017539,-10.0373529723183
9.27,17.8143089583619,-6.41747723978078
9.28,17.7533494428222,-2.82156676564274
9.29,17.8290126744586,0.770407345037152
9.3,18.0459924624434,4.37831746982026
9.31,18.4131104149987,8.02219415137484
9.32,18.9438261593403,11.722500857113
9.33,19.657036225638,15.5003520896242
9.34,20.5782315951715,19.3776407379487
9.35,21.7411177726947,23.3770113597262
9.36,23.1898448928192,27.5215666302623
9.37,24.9820509488113,31.834109785904
9.38,27.192987971534,36.3355809591802
9.39,29.9210691557713,41.0420956435042
9.4,33.2952107554436,45.9595639541958
9.41,37.4842521538478,51.0741369331034
9.42,42.7082836214032,56.3355073034872
9.43,49.2503306220965,61.6281733854291
9.44,57.463281246153,66.7231291153894
9.45,67.7586682700448,71.2000599042693
9.46,80.5468167341943,74.3325281946454
9.47,96.0691568446935,74.9498079900549
9.48,114.037846489621,71.3599020138433
9.49,133.053035523882,61.5691464198793
9.5,150.07977705355,44.1640854694659
9.51,160.840562612618,19.8578305073321
9.52,161.867308295932,-7.55125404348486
9.53,152.955684595546,-32.606027150664
9.54,137.281594869892,-51.2580702298238
9.55,119.060681010222,-62.4768786740108
9.56,101.427582263703,-67.4480839203114
9.57,85.9274845860551,-68.0588410832617
9.58,72.9725209581553,-65.9777352532356
9.59,62.4075748764004,-62.3919264519128
9.6,53.8760567254015,-58.0573170464771
9.61,46.9976592467961,-53.4242056915641
9.62,41.4366140393592,-48.7475956283739
9.63,36.9186134417008,-44.164108984233
9.64,33.2274293980551,-39.7407659559244
9.65,30.1953418966628,-35.504557705273
9.66,27.693041109484,-31.4599700912835
9.67,25.6209117694671,-27.5992329659567
9.68,23.9020874163723,-23.9082535940047
9.69,22.4771190821302,-20.3700081521321
9.7,21.2999588683581,-16.9664402700123
9.71,20.3349630215188,-13.6794841070306
9.72,19.5546686350534,-10.4915755362464
9.73,18.9381536923904,-7.38586599538626
9.74,18.4698387785422,-4.34626604457436
9.75,18.1386276818483,-1.35739421807937
9.76,17.9373141694542,1.59552338101564
9.77,17.8622053360465,4.52677463141053
9.78,17.9129300133375,7.4502853666591
9.79,18.0924154487024,10.3797311486457
9.8,18.4070281820065,13.3286223024691
9.81,18.8668868798135,16.3103440178317
9.82,19.4863667069095,19.3381253407129
9.83,20.2848272413544,22.4248970294325
9.84,21.2876091405803,25.5829757227421
9.85,22.5273580032256,28.823476022039
9.86,24.0457444640564,32.1552955610926
9.87,25.8956507173225,35.5834296152385
9.88,28.1438700830639,39.1062346918698
9.89,30.8742854132248,42.7110525021724
9.9,34.1912879477989,46.3673022759867
9.91,38.2227417893867,50.0157405952666
9.92,43.1208538251468,53.5521304076043
9.93,49.057483077268,56.8033155638487
9.94,56.2072034095087,59.4944452915256
9.95,64.7065855638674,61.2097258193158
9.96,74.5732482005772,61.3592467597142
9.97,85.5703626469277,59.1856178546603
9.98,97.0292419597041,53.8739430296694
9.99,107.716911617069,44.8366199088954
10,115.936275473963,32.1557409214918
10.01,120.028091062149,16.9389927142697
10.02,119.126581935953,1.18505999012985
10.03,113.618693353321,-12.9493269757043
10.04,104.893902887224,-23.9846091750116
10.05,94.6338246245984,-31.4537633207003
10.06,84.214651437589,-35.6779210858845
10.07,74.4915435955677,-37.3425372281612
10.08,65.8639082604356,-37.1721406817072
10.09,58.4326576587692,-35.7743833854763
10.1,52.1394284333924,-33.602249841284
10.11,46.8581183236614,-30.9708963036649
10.12,42.4455774287504,-28.089990467037
10.13,38.765920477207,-25.0944285018259
10.14,35.7001341754265,-22.0683313592526
10.15,33.1483207416779,-19.0622103514319
10.16,31.028654301621,-16.1046994811857
10.17,29.2751334039473,-13.210379764671
10.18,27.8351158392136,-10.3849304655393
10.19,26.6670571046318,-7.62850153413632
10.2,25.7385990532066,-4.93792210266706
10.21,25.0250302624533,-2.30815777618481
10.22,24.5080887384918,0.266707975509675
10.23,24.175061500971,2.79278298295865
10.24,24.0181345605069,5.27583766674893
10.25,24.0339508855308,7.7208442492962
10.26,24.2233380042032,10.1315081585565
10.27,24.5911677316974,12.5097230507858
10.28,25.1463053795976,14.8548796397721
10.29,25.9015912596035,17.1629512478686
10.3,26.873768437722,19.425268728672
10.31,28.0832205957049,21.6268897630888
10.32,29.5533036771571,23.7444738404212
10.33,31.3089361118274,25.7436166419599
10.34,33.3739534085252,27.5757160550177
10.35,35.7665567918536,29.17470123379
10.36,38.4920744646878,30.454441967853
10.37,41.5324041656329,31.3084378711418
10.38,44.8322776358226,31.6144013857576
10.39,48.284352735749,31.2471561795394
10.4,51.7183048617018,30.1027687393101
10.41,54.9026082687755,28.1333372554037
10.42,57.5684876171279,25.3844585728633
10.43,59.4591653170854,22.0187507457749
10.44,60.3930195467355,18.3067167154113
10.45,60.3148544470485,14.5782907590616
10.46,59.3095164179249,11.1507824447724
10.47,57.5713434528356,8.26419924495606
10.48,55.3470325122451,6.04909515054423
10.49,52.8791146519201,4.53121709258383
10.5,50.3686836021868,3.6595561122247
10.51,47.9610557131664,3.3402357009803
10.52,45.7481156328364,3.46451227914783
10.53,43.7788186534117,3.92690750230879
10.54,42.0714726655582,4.63446600182781
10.55,40.6244688212171,5.50990116385846
10.56,39.4243676671735,6.4912746728707
10.57,38.451428684226,7.53008998423443
10.58,37.6831116981576,8.58891853559009
10.59,37.0961339558192,9.6391303773894
10.6,36.6675712762587,10.6589690028761
10.61,36.3753645844943,11.6320325442865
10.62,36.1984817979214,12.5461397519981
10.63,36.1169016017314,13.3925262718866
10.64,36.1115279659349,14.1653083940956
10.65,36.1641059807937,14.8611531497143
10.66,36.2571842768733,15.4790981247969
10.67,36.3741517051346,16.0204685716544
10.68,36.4993622489671,16.488842599842
10.69,36.6183498131991,16.890018002173
10.7,36.7181222890172,17.2319378696825
10.71,36.7875119748788,17.5245380352281
10.72,36.8175479316332,17.779488775717
10.73,36.801806871536,18.0098166166629
10.74,36.7366948179043,18.2294089600092
10.75,36.6216138721575,18.452422794786
10.76,36.4589778819734,18.6926361000806
10.77,36.2540569988033,18.9627934120743
10.78,36.0146517486768,19.2740025429061
10.79,35.7506187245192,19.6352360922668
10.8,35.4732883187216,20.0529795805376
10.81,35.1948266753961,20.5310500584596
10.82,34.9275974208354,21.0705885076945
10.83,34.6835738378561,21.6702101292932
10.84,34.4738408223041,22.3262819005444
10.85,34.3082110763216,23.0332883525456
10.86,34.1949646092716,23.7842446021188
10.87,34.1407072342466,24.5711191975592
10.88,34.1503338981022,25.3852365033144
10.89,34.2270768699596,26.2176371897574
10.9,34.3726167159938,27.0593842308363
10.91,34.5872347859666,27.9018094829895
10.92,34.8699886291668,28.7367018195842
10.93,35.218895405257,29.556441788816
10.94,35.6311122171062,30.3540900292617
10.95,36.1031058674245,31.123437562827
10.96,36.6308075519265,31.8590259846777
10.97,37.2097503464843,32.5561448497383
10.98,37.8351890397636,33.2108125130165
10.99,38.5022029887338,33.8197455338493
11,39.2057833434948,34.3803206454185
11.01,39.9810551122341,34.8832918800876
11.02,40.7957601955459,35.3419940167619
11.03,41.6489345949153,35.7514972384647
11.04,42.5389650167625,36.1064551584466
11.05,43.4634401211218,36.4011554512464
11.06,44.4189877162136,36.6296064885189
11.07,45.4011033250278,36.785670106507
11.08,46.4039794464369,36.8632514067684
11.09,47.4203499158989,36.8565562455892
11.1,48.4413699842867,36.760425107381
11.11,49.4565597214817,36.5707475209952
11.12,50.4538452902059,36.2849531270166
11.13,51.4197380682611,35.902563134599
11.14,52.3396933408629,35.4257689088972
11.15,53.1986855236919,34.8599834969581
11.16,53.9820225872501,34.214289291284
11.17,54.6763961657274,33.5016849884399
11.18,55.2711253184338,32.7390236722847
11.19,55.7595039826587,31.9465383456467
