"Theta [deg]","dB10normalize(DirTotal) [] - Freq='11.25GHz' Phi='0deg'","dB10normalize(DirTotal)_1 [] - Freq='11.25GHz' Phi='90.0000000000002deg'"
0,-0.00969169583987116,-8.15086998508241
1,0,-8.69440414078527
2,-0.0119183537285633,-9.31034221288728
3,-0.045440938918401,-9.9555271303826
4,-0.100585730568665,-10.5631449345559
5,-0.177396747420693,-11.0498589062268
6,-0.275948323789254,-11.3408297334236
7,-0.396351345400612,-11.4071726226969
8,-0.538761336219751,-11.2849761960626
9,-0.703388229437834,-11.0551139086557
10,-0.890507610394232,-10.8064422506953
11,-1.10047318955661,-10.6125930064824
12,-1.33373025715719,-10.5264821003097
13,-1.590829894009,-10.5839984578261
14,-1.87244376950476,-10.8109446852576
15,-2.17937944865231,-11.2299245346483
16,-2.51259625188588,-11.8651033230642
17,-2.87322185606328,-12.7451569644333
18,-3.26256997837454,-13.9058750610434
19,-3.68215962482199,-15.3897581926592
20,-4.13373647711255,-17.2254710275166
21,-4.6192969799513,-19.321938180174
22,-5.14111547717489,-21.1158450868632
23,-5.70177415236172,-21.37349816707
24,-6.30419422479078,-19.9139261857548
25,-6.95166419962672,-17.9583442925457
26,-7.64785574367594,-16.2017318062318
27,-8.39680755779369,-14.7811194124043
28,-9.20283773846217,-13.6737097696457
29,-10.0703063379146,-12.8320809114236
30,-11.0030743481028,-12.2147733471764
31,-12.0033605455362,-11.7902417502579
32,-13.0694319782401,-11.5344075527616
33,-14.1911323217085,-11.4280125208295
34,-15.3417872330179,-11.4556001041541
35,-16.4654934939332,-11.6052353942569
36,-17.463459992392,-11.8673930592537
37,-18.1965870514701,-12.232894580288
38,-18.5328856252124,-12.6912648795443
39,-18.4302257571298,-13.2304021840757
40,-17.9691250649066,-13.8365278442475
41,-17.2919402780975,-14.4924795738766
42,-16.5257659379003,-15.1741369345495
43,-15.7528905186544,-15.8477664391987
44,-15.0168756541426,-16.4720328133269
45,-14.3369451354191,-17.005378346672
46,-13.7191503485851,-17.4147794629447
47,-13.1630482786337,-17.6812334572604
48,-12.6652867187537,-17.8018389089392
49,-12.2214240816106,-17.7906767864956
50,-11.8268137135367,-17.6773024387803
51,-11.4770088291981,-17.5001049049213
52,-11.1679267276601,-17.2963011796022
53,-10.8958948454288,-17.093975871079
54,-10.6576411109063,-16.9095148775668
55,-10.4502602419006,-16.7496902033755
56,-10.2711718183889,-16.6156810478124
57,-10.1180778361046,-16.5066727853824
58,-9.98892326883146,-16.4219412610239
59,-9.88186103266513,-16.3614673997699
60,-9.79522167406237,-16.3257012532038
61,-9.72748758698939,-16.3151053550152
62,-9.67727133699513,-16.3298242297922
63,-9.6432975914794,-16.3695469233484
64,-9.62438815168576,-16.4334955645813
65,-9.61944961380702,-16.5204683397286
66,-9.62746323342677,-16.6289091769281
67,-9.64747661866524,-16.757007053219
68,-9.67859692751491,-16.9028278298903
69,-9.71998529145015,-17.0644640326095
70,-9.77085222948061,-17.2401729663893
71,-9.83045385416767,-17.4284725225081
72,-9.89808870388183,-17.6281767401204
73,-9.97309506405895,-17.8383718577557
74,-10.0548486647782,-18.0583493345617
75,-10.1427606629966,-18.2875197629078
76,-10.2362758355788,-18.5253302356492
77,-10.3348709241671,-18.7712005743307
