"Theta [deg]","dB10normalize(DirTotal) [] - Freq='11.25GHz' Phi='0deg'","dB10normalize(DirTotal)_1 [] - Freq='11.25GHz' Phi='90.0000000000002deg'"
78,-10.4380530852434,-19.0244849255478
79,-10.5453584087087,-19.2844577564774
80,-10.6563504762234,-19.5503187219183
81,-10.7706189366676,-19.8212092619357
82,-10.8877780806787,-20.0962343210063
83,-11.0074653995751,-20.3744842421193
84,-11.1293401163813,-20.6550538368013
85,-11.2530816784436,-20.9370573306563
86,-11.3783882025843,-21.2196390973722
87,-11.5049748652448,-21.5019807983721
88,-11.6325722319518,-21.7833058335823
89,-11.7609245230823,-22.0628820157359
90,-11.8897878166681,-22.340023234376
91,-12.0189281942233,-22.6140906752404
92,-12.1481198426414,-22.8844939701371
93,-12.2771431343772,-23.1506925048039
94,-12.4057827196286,-23.4121970165542
95,-12.5338256781475,-23.6685715612386
96,-12.6610597945882,-23.9194358988937
97,-12.7872720396241,-24.1644683085425
98,-12.9122473588371,-24.4034087576341
99,-13.0357678916049,-24.6360621825029
100,-13.1576127614311,-24.8623013547284
101,-13.2775585954165,-25.0820684132506
102,-13.3953809413478,-25.2953736826235
103,-13.510856753222,-25.5022899973214
104,-13.6237681066055,-25.7029406229775
105,-13.7339072807004,-25.8974792991608
106,-13.8410833013742,-26.0860622428569
107,-13.9451299766605,-26.2688143850317
108,-14.0459153729579,-26.4457956602954
109,-14.1433525782559,-26.6169773922394
110,-14.2374114830311,-26.7822426759296
111,-14.3281311880073,-26.941426498155
112,-14.4156325317927,-27.0944091862771
113,-14.500130133696,-27.2412691735163
114,-14.581943281655,-27.3824884041162
115,-14.6615049747286,-27.5191896420505
116,-14.7393684628819,-27.6533767254363
117,-14.8162107170791,-27.788154838863
118,-14.8928324062601,-27.9279320810562
119,-14.9701541438071,-28.0786385538698
120,-15.0492089779495,-28.2480232683153
121,-15.1311313181075,-28.4460738121981
122,-15.2171426920175,-28.6855328633616
123,-15.308534898999,-28.982379309947
124,-15.4066512505781,-29.3560650524822
125,-15.5128666650017,-29.8293377093081
126,-15.6285674074127,-30.4276934279754
127,-15.7551312478439,-31.1788905958563
128,-15.8939087523868,-32.1134354157192
129,-16.0462063361299,-33.2672235292056
130,-16.2132715937835,-34.6862934965564
131,-16.396281283789,-36.425216612644
132,-16.5963321651701,-38.4884976437294
133,-16.814434655614,-40.4977417199127
134,-17.0515089665617,-40.9944457651083
135,-17.30838293768,-39.1309200408804
136,-17.585790187623,-36.501022852866
137,-17.884366353968,-34.1356248500456
138,-18.2046400271744,-32.1929398395266
139,-18.5470133822847,-30.6173781465847
140,-18.9117253423289,-29.3363668627017
141,-19.2987872142602,-28.2978362973437
142,-19.7078769860289,-27.4720958916099
143,-20.1381738608869,-26.8438433233214
144,-20.5881095527306,-26.4034892927982
145,-21.0550088471833,-26.143537955148
146,-21.5345927044325,-26.0609730659405
147,-22.0203308350865,-26.1616793727404
148,-22.5026721166513,-26.4620148814523
149,-22.9682723095965,-26.9870778259919
150,-23.3994978596548,-27.770787415448
151,-23.7746919389734,-28.8639200919757
152,-24.0698189448497,-30.3525735662623
153,-24.2618874265043,-32.3877222643917
154,-24.3337383774962,-35.228186010542
155,-24.2786054930628,-39.1783188587369
156,-24.1022851169157,-42.4211150175341
157,-23.8217134915541,-39.496661380057
158,-23.4607263967073,-35.6132768326554
159,-23.0450884252897,-32.844377165699
160,-22.5986224318603,-30.9127702780069
161,-22.1411242225747,-29.5682730535476
162,-21.6877983840169,-28.664477976014
163,-21.2496079487881,-28.1185452290918
164,-20.8340072617451,-27.8871951437967
165,-20.4457328411115,-27.9485481870392
166,-20.0875016664006,-28.2886161489803
167,-19.7605719291032,-28.8940777114623
168,-19.4651717900853,-29.740681232216
169,-19.2008198166609,-30.7541632314365
170,-18.9665632762696,-31.7306964529284
171,-18.7611568478529,-32.2886416886962
172,-18.5831991426892,-32.0804485520767
173,-18.4312395651165,-31.1780298851244
174,-18.3038640662347,-29.9737370766487
175,-18.1997652959747,-28.7958925420525
176,-18.1178004132772,-27.8009559807471
177,-18.0570382192524,-27.0374019421892
178,-18.0167962085004,-26.5102356122434
179,-17.9966674938806,-26.2133993452129
180,-17.9965372716475,-26.13771556089
181,-18.0165884791646,-26.2689078189894
182,-18.0572964665491,-26.5850298472132
183,-18.1194127502855,-27.0498641012116
184,-18.2039381220601,-27.5948504156316
185,-18.3120854270666,-28.0962772547489
186,-18.4452320858553,-28.378659268202
187,-18.6048618063135,-28.2823705558817
188,-18.7924938200506,-27.7703876175253
189,-19.0095962830192,-26.9560107266816
190,-19.2574780989893,-26.011987614303
191,-19.5371502532137,-25.0754959694564
192,-19.8491437365994,-24.222984644554
193,-20.1932664732649,-23.4877637966726
194,-20.5682771139709,-22.8806365209606
195,-20.971451283907,-22.4007475606897
196,-21.3980208167331,-22.0406010796492
197,-21.8404884269509,-21.789947282736
198,-22.2878753880756,-21.6383419733209
199,-22.7250679494265,-21.575233247304
200,-23.1325959949011,-21.5891459787852
201,-23.4873548857891,-21.6680854048729
202,-23.764803879247,-21.8006593744071
203,-23.9427796027536,-21.976228606781
204,-24.0061419989674,-22.1844611032483
205,-23.9504881083128,-22.416060591533
206,-23.7831081071444,-22.6645252321763
207,-23.5206751265097,-22.926882027776
208,-23.1849070659204,-23.2028298355655
209,-22.7981704058111,-23.4940484980058
210,-22.3804026261339,-23.8046272388039
211,-21.9476704957235,-24.1411959055441
212,-21.5119802317033,-24.511530809495
213,-21.0817785986282,-24.922750048709
214,-20.6627044677946,-25.3808184114863
215,-20.2583358584565,-25.8910669572078
216,-19.8708204768541,-26.4579081586927
217,-19.5013607340039,-27.0829810497669
218,-19.1505631278817,-27.7628583117052
219,-18.8186757663879,-28.4874569719702
220,-18.5057397921527,-29.2384904683453
221,-18.2116777395989,-29.9864702024175
222,-17.9363377888861,-30.6871699194286
223,-17.6795088495142,-31.282844065221
224,-17.4409178596262,-31.7144554669053
225,-17.2202177153418,-31.9431157560635
226,-17.0169718208987,-31.9666843709438
227,-16.8306393205743,-31.8182910498537
228,-16.6605635791646,-31.5501925638692
229,-16.5059653594123,-31.2165175415837
230,-16.3659413398688,-30.8627277830064
231,-16.2394680614999,-30.5216234636664
232,-16.1254110241576,-30.2135008103239
233,-16.0225384190668,-29.9486535774363
234,-15.9295388342524,-29.730833639414
235,-15.8450421712804,-29.5604373035552
236,-15.7676429407244,-29.4365704303637
237,-15.6959250487365,-29.3577997370846
238,-15.6284871460942,-29.3219971230375
239,-15.5639675895698,-29.3259304957534
240,-15.5010680731208,-29.3651136223496
241,-15.4385750338183,-29.4340911586447
242,-15.3753780326976,-29.5270304188551
243,-15.3104844565848,-29.6383460440395
244,-15.2430300790614,-29.7631100472707
245,-15.1722852452347,-29.8971358906389
246,-15.0976566878456,-30.0367810259718
247,-15.0186852198076,-30.1786125461712
248,-14.935039758735,-30.3190961920918
249,-14.8465083039175,-30.4544187307202
250,-14.7529865931715,-30.5804794056131
251,-14.6544652112976,-30.6930239099326
252,-14.5510159063844,-30.7878610717481
253,-14.4427778041378,-30.8610977876675
254,-14.3299441071842,-30.9093422109725
255,-14.2127497410099,-30.9298474069519
256,-14.0914602754228,-30.9205884919767
257,-13.9663623224939,-30.8802805049176
258,-13.8377554979884,-30.8083507751598
259,-13.7059459389854,-30.7048800938842
260,-13.5712412981581,-30.5705244689019
261,-13.4339470848887,-30.4064261705836
262,-13.2943641930139,-30.2141205030541
263,-13.1527874414258,-29.9954434551447
264,-13.0095049534005,-29.7524446514415
265,-12.864798209803,-29.4873093014865
266,-12.7189426269708,-29.202291845544
267,-12.5722085293497,-28.8996627298192
268,-12.4248624076559,-28.5816684101192
269,-12.2771683738566,-28.2505035112323
270,-12.1293897434611,-27.9082932177753
271,-11.9817906928122,-27.5570834913564
272,-11.834637953902,-27.1988365587665
273,-11.6882025215838,-26.8354292063718
274,-11.5427613580012,-26.4686516454041
275,-11.3985990867753,-26.1002049957402
276,-11.2560096752457,-25.7316957156534
277,-11.1152981071448,-25.364625557932
278,-10.9767820508022,-25.0003758630418
279,-10.8407935296335,-24.6401852317008
280,-10.7076806025754,-24.2851198830399
281,-10.5778090625603,-23.9360363208776
282,-10.4515641613867,-23.5935362904385
283,-10.3293523696997,-23.2579143581659
284,-10.2116031815447,-22.9290986977795
285,-10.0987709743836,-22.6065857416408
286,-9.99133693787784,-22.2893693271351
287,-9.88981108846223,-21.9758652584972
288,-9.79473439211801,-21.6638338303701
289,-9.70668102516877,-21.3503074831747
290,-9.62626081279687,-21.0315402047272
291,-9.55412189776781,-20.703010066329
292,-9.49095370809125,-20.3595230235652
293,-9.43749031265379,-19.9954750110382
294,-9.39451427897192,-19.6053145803135
295,-9.36286117804378,-19.1841957263339
296,-9.34342491898183,-18.7287236707078
297,-9.33716414218727,-18.2376109783424
298,-9.34510995627315,-17.7120376014103
299,-9.36837537344482,-17.1555890569821
300,-9.40816688426826,-16.5738084531287
301,-9.46579872072807,-15.97354887409
302,-9.54271049313887,-15.3623570935656
303,-9.64048906139551,-14.7480343797783
304,-9.76089572740292,-14.1383718835198
305,-9.90590013131789,-13.5409506141618
306,-10.0777226237265,-12.962895199703
307,-10.278887400933,-12.4105614510053
308,-10.5122893709248,-11.8892394952316
309,-10.7812786077208,-11.4029812154027
310,-11.0897673874173,-10.9545853635501
311,-11.4423661671468,-10.5456486872354
312,-11.8445562971167,-10.1765151917273
313,-12.3029081292158,-9.84599949939409
314,-12.8253516888308,-9.55090410332591
315,-13.4214982042963,-9.28548650408089
316,-14.102980954399,-9.04105622603862
317,-14.8836959738977,-8.80580515638186
318,-15.7795740399038,-8.5649422543443
319,-16.8068150007798,-8.30134096889756
320,-17.9755619863913,-7.9970913653611
321,-19.2708393366032,-7.63619195457557
322,-20.6021119926581,-7.20790029160466
323,-21.7047947301548,-6.70946401904697
324,-22.1039203174744,-6.14696695087039
325,-21.4767849900782,-5.5340150813018
326,-20.0811218546536,-4.88903271587739
327,-18.4044274471091,-4.23223260481254
328,-16.742678910441,-3.58305076743564
329,-15.2035629836958,-2.95849260212986
330,-13.8087154711767,-2.37250714514555
331,-12.5502634541672,-1.83614405221968
332,-11.4127136804767,-1.35803639478588
333,-10.3803302662636,-0.94486765615174
334,-9.43926540383728,-0.60176947970111
335,-8.57790724092553,-0.332730825137753
336,-7.78667426119672,-0.140994170168471
337,-7.0576817704527,-0.0293086003919561
338,-6.38442007953107,0
339,-5.76148279243963,-0.0549712239015644
340,-5.1843489576713,-0.195708570922821
341,-4.6492122256165,-0.4231834108879
342,-4.15284805275112,-0.737489864066312
343,-3.69251068565463,-1.1372212141199
344,-3.26585306434357,-1.61865251735674
345,-2.87086418934061,-2.17459185801269
346,-2.50581969346222,-2.79266053365633
347,-2.16924232226501,-3.45319525511521
348,-1.85986978804887,-4.12770150133674
349,-1.57662806348166,-4.77928866958624
350,-1.31860865943746,-5.36677422084049
351,-1.08504881582932,-5.85374717566624
352,-0.875313844070807,-6.22083028232019
353,-0.688881108974785,-6.47430908967507
354,-0.525325335834167,-6.64447088551821
355,-0.384305082156975,-6.77517546439905
356,-0.265550328960087,-6.9121012135459
357,-0.168851229185849,-7.09460162006966
358,-0.0940481060715196,-7.35175858517735
359,-0.0410228272816995,-7.70152207184536
360,-0.00969169583987116,-8.15086998508241
