"Freq [GHz]","dB(S(1,1)) []"
9,-0.394659087277035
9.01,-0.396360833346557
9.02,-0.398085971889346
9.03,-0.399835216724751
9.04,-0.401609322158363
9.05,-0.403409084934205
9.06,-0.405235346305218
9.07,-0.407088994230107
9.08,-0.408970965705496
9.09,-0.410882249242868
9.1,-0.412823887500472
9.11,-0.414796980081442
9.12,-0.416802686509936
9.13,-0.418842229398332
9.14,-0.420916897819429
9.15,-0.423028050898777
9.16,-0.425177121643559
9.17,-0.42736562102578
9.18,-0.429595142338956
9.19,-0.431867365849257
9.2,-0.434184063763769
9.21,-0.436547105540463
9.22,-0.438958463566686
9.23,-0.441420219235314
9.24,-0.443934569450231
9.25,-0.446503833595746
9.26,-0.449130461007588
9.27,-0.451817038986504
9.28,-0.454566301399497
9.29,-0.457381137917521
9.3,-0.460264603943437
9.31,-0.463219931288724
9.32,-0.46625053966333
9.33,-0.469360049049025
9.34,-0.472552293033527
9.35,-0.475831333190162
9.36,-0.479201474596369
9.37,-0.482667282593408
9.38,-0.486233600900115
9.39,-0.489905571204938
9.4,-0.493688654373278
9.41,-0.497588653421206
9.42,-0.501611738422583
9.43,-0.505764473534077
9.44,-0.510053846342236
9.45,-0.514487299758828
9.46,-0.519072766714953
9.47,-0.523818707932077
9.48,-0.528734153078687
9.49,-0.533828745655804
9.5,-0.539112791993158
9.51,-0.544597314781098
9.52,-0.550294111612188
9.53,-0.556215819060974
9.54,-0.562375982892297
9.55,-0.568789135057678
9.56,-0.575470878217721
9.57,-0.582437978616594
9.58,-0.589708468234252
9.59,-0.597301757254415
9.6,-0.605238758013335
9.61,-0.613542021737875
9.62,-0.622235889543512
9.63,-0.631346659346421
9.64,-0.640902770550875
9.65,-0.650935008607703
9.66,-0.661476731804136
9.67,-0.672564122944421
9.68,-0.684236468917699
9.69,-0.696536471529587
9.7,-0.709510593400946
9.71,-0.723209443216588
9.72,-0.737688205142329
9.73,-0.753007117825688
9.74,-0.769232009056285
9.75,-0.786434892889629
9.76,-0.804694636830724
9.77,-0.824097707528326
9.78,-0.844739004336239
9.79,-0.866722791035398
9.8,-0.890163736949479
9.81,-0.91518807957701
9.82,-0.941934921630414
9.83,-0.970557675906424
9.84,-1.0012256715517
9.85,-1.03412593480129
9.86,-1.06946515582722
9.87,-1.10747185047713
9.88,-1.14839872076108
9.89,-1.19252521005797
9.9,-1.24016023691905
9.91,-1.29164507333799
9.92,-1.34735630710943
9.93,-1.40770879026447
9.94,-1.47315842233481
9.95,-1.54420454277069
9.96,-1.6213916039286
9.97,-1.70530965532543
9.98,-1.79659297973437
9.99,-1.89591596836998
10,-2.00398499055634
10.01,-2.12152458803019
10.02,-2.24925579531739
10.03,-2.38786375863013
10.04,-2.53795112833626
10.05,-2.69997302117252
10.06,-2.87414887222012
10.07,-3.060346567236
10.08,-3.25793544825284
10.09,-3.46560802602607
10.1,-3.68117675800612
10.11,-3.90136345857084
10.12,-4.12161570178095
10.13,-4.33600592736229
10.14,-4.53728958658819
10.15,-4.71720669449342
10.16,-4.86708862006146
10.17,-4.97876270077994
10.18,-5.0456343082279
10.19,-5.06370882796587
10.2,-5.03226502561821
10.21,-4.95396334442702
10.22,-4.83435452460978
10.23,-4.68095403503721
10.24,-4.50216083748612
10.25,-4.30628396312726
10.26,-4.10083685552964
10.27,-3.8921397303551
10.28,-3.68518582560701
10.29,-3.48369153371622
10.3,-3.2902507646185
10.31,-3.10653187401901
10.32,-2.93347710590973
10.33,-2.77148265917322
10.34,-2.62055015211607
10.35,-2.48040793340074
10.36,-2.35060471020353
