"Theta [deg]","dB10normalize(DirTotal) [] - Freq='11.25GHz' Phi='0deg'","dB10normalize(DirTotal)_1 [] - Freq='11.25GHz' Phi='90.0000000000002deg'"
248,-12.4156044678548,-13.0887526353669
249,-12.297013600292,-12.9976107863485
250,-12.1809571666127,-12.9079656656226
251,-12.0670341745574,-12.8196914327519
252,-11.9548697346535,-12.7326628524676
253,-11.844116391024,-12.6467553156239
254,-11.7344551256619,-12.5618448497426
255,-11.6255960707505,-12.477808125713
256,-11.5172789615443,-12.3945224658239
257,-11.4092733608114,-12.3118658570451
258,-11.3013786846173,-12.229716972337
259,-11.1934240580932,-12.1479552017593
260,-11.0852680286377,-12.0664606942823
261,-10.9767981626635,-11.985114410467
262,-10.8679305504744,-11.9037981855953
263,-10.75860924214,-11.8223948023809
264,-10.648805635366,-11.740788072091
265,-10.5385178343652,-11.6588629227482
266,-10.4277699967112,-11.5765054930562
267,-10.3166116831426,-11.4936032308044
268,-10.205117223372,-11.4100449947326
269,-10.0933851091903,-11.3257211591804
270,-9.98153742459717,-11.2405237212755
271,-9.8697193213713,-11.1543464109312
272,-9.75809854745367,-11.0670848044824
273,-9.64686503475501,-10.9786364433898
274,-9.53623055253328,-10.8889009600355
275,-9.42642843230697,-10.79778021321
276,-9.31771337037114,-10.7051784363978
277,-9.21036131435417,-10.6110024023963
278,-9.10466944088793,-10.5151616081001
279,-9.00095623235668,-10.4175684834283
280,-8.89956166184546,-10.3181386283351
281,-8.80084749683895,-10.2167910815958
282,-8.70519773395164,-10.1134486245903
283,-8.61301917903998,-10.0080381225876
284,-8.52474218950932,-9.90049090508625
285,-8.440821598559,-9.79074318556817
286,-8.36173784460474,-9.67873651962575
287,-8.28799833329359,-9.56441829882993
288,-8.22013906454546,-9.44774227598598
289,-8.15872656309414,-9.32866911562085
290,-8.10436015830499,-9.20716696173642
291,-8.05767466790249,-9.08321201312397
292,-8.01934355101985,-8.95678909495345
293,-7.990082609139,-8.82789221401544
294,-7.97065432960489,-8.69652508398589
295,-7.96187298619775,-8.56270160648801
296,-7.96461063564969,-8.42644629359882
297,-7.97980417916093,-8.28779461784273
298,-8.00846369536113,-8.14679327664948
299,-8.05168229760233,-8.00350035972793
300,-8.1106478262149,-7.85798540978735
301,-8.18665675813855,-7.71032936946596
302,-8.28113080534379,-7.56062441011507
303,-8.39563678315044,-7.40897364112808
304,-8.53191046315503,-7.25549070167304
305,-8.6918852847275,-7.10029923984932
306,-8.87772698136722,-6.94353228730725
307,-9.09187537080367,-6.78533154011646
308,-9.33709472496894,-6.62584655902328
309,-9.61653419314118,-6.46523390411011
310,-9.93379950952365,-6.30365622018454
311,-10.2930362642097,-6.14128128994593
312,-10.699022467824,-5.97828107208884
313,-11.1572620806589,-5.81483074102382
314,-11.6740574343697,-5.65110774387382
315,-12.256507850295,-5.48729088890318
316,-12.9123137762284,-5.32355947764615
317,-13.6491147916699,-5.1600924908167
318,-14.4727565647625,-4.99706783571084
319,-15.3831690713498,-4.83466166035975
320,-16.3651690299289,-4.67304773726213
321,-17.3697314809261,-4.5123969172096
322,-18.2832506775739,-4.35287665160609
323,-18.9041109080402,-4.19465057983599
324,-18.9978461179027,-4.03787817671427
325,-18.4693900476154,-3.88271445388689
326,-17.4583734752253,-3.72930970826531
327,-16.2041520334556,-3.57780931017454
328,-14.8907663196507,-3.42835352386102
329,-13.6158204516679,-3.28107735331655
330,-12.4194373795517,-3.13611040699144
331,-11.3128439779059,-2.99357677584525
332,-10.2946975518591,-2.85359492026374
333,-9.35890697249478,-2.71627756259388
334,-8.4980903670341,-2.58173158335508
335,-7.70500721708043,-2.45005792051018
336,-6.9730882195075,-2.32135147246434
337,-6.29657515466053,-2.19570100664906
338,-5.67050022172632,-2.07318907659062
339,-5.09060651854629,-1.95389195121719
340,-4.55325380495103,-1.83787956079173
341,-4.05532777353142,-1.7252154642462
342,-3.59415944744987,-1.61595684282224
343,-3.16745624228182,-1.51015452479084
344,-2.77324412599015,-1.40785304563559
345,-2.40981955931377,-1.30909074745599
346,-2.0757097434505,-1.21389992050391
347,-1.7696397930861,-1.12230698874039
348,-1.4905056302099,-1.03433274012935
349,-1.2373515866228,-0.949992601114323
350,-1.00935188133532,-0.869296953402451
351,-0.805795293282734,-0.792251489855624
352,-0.626072478686268,-0.718857605014104
353,-0.469665488206286,-0.649112814601657
354,-0.336139125157215,-0.583011197330575
355,-0.225133855956671,-0.520543851480897
356,-0.136360040797392,-0.461699358106487
357,-0.069593298915265,-0.406464242347124
358,-0.0246708609601667,-0.35482342421896
359,-0.00148879260242035,-0.306760650420943
360,0,-0.262258899128645
