"Freq [GHz]","dB(S(1,1)) []"
9,-4.39997285703975
9.01,-4.24140942112557
9.02,-4.12099727140828
9.03,-4.03373038136028
9.04,-3.97529306045474
9.05,-3.94206293265415
9.06,-3.93105753271765
9.07,-3.93985671819268
9.08,-3.96651833234024
9.09,-4.0094956218027
9.1,-4.06755970727206
9.11,-4.13972748392611
9.12,-4.22519376565001
9.13,-4.32326572363191
9.14,-4.43329739537437
9.15,-4.55462211372954
9.16,-4.68648110690536
9.17,-4.82794731953766
9.18,-4.9778448388671
9.19,-5.13466635056297
9.2,-5.29649394173574
9.21,-5.46093232270897
9.22,-5.62506784664861
9.23,-5.78547071246121
9.24,-5.93825984275906
9.25,-6.07924783063292
9.26,-6.20417460645888
9.27,-6.30902183462405
9.28,-6.39037727573313
9.29,-6.44579551642578
9.3,-6.4740880432466
9.31,-6.47548042353476
9.32,-6.45159981802555
9.33,-6.40529501134515
9.34,-6.34032933677528
9.35,-6.26101042014568
9.36,-6.17182331608031
9.37,-6.07711865798598
9.38,-5.98088403425744
9.39,-5.88660424150355
9.4,-5.79720003017719
9.41,-5.71502685635009
9.42,-5.64191353139973
9.43,-5.57922302731387
9.44,-5.52792177654927
9.45,-5.48864806051398
9.46,-5.46177370616893
9.47,-5.44745603431539
9.48,-5.44567885830644
9.49,-5.45628248412969
9.5,-5.47898330956052
9.51,-5.51338394133989
9.52,-5.55897489090158
9.53,-5.61512898259977
9.54,-5.68108969709425
9.55,-5.75595483838707
9.56,-5.83865719998418
9.57,-5.92794433898253
9.58,-6.02236014614685
9.59,-6.12023158623739
9.6,-6.2196646807155
9.61,-6.31855434539368
9.62,-6.41461282824997
9.63,-6.50542090434706
9.64,-6.58850436243149
9.65,-6.66143546632445
9.66,-6.72195507713048
9.67,-6.76810648987065
9.68,-6.79836774861178
9.69,-6.81176653856253
9.7,-6.80796189618714
9.71,-6.78728049612835
9.72,-6.75070172471416
9.73,-6.6997936795566
9.74,-6.63660964168087
9.75,-6.5635596417512
9.76,-6.48327351129458
9.77,-6.39847037161237
9.78,-6.31184581380329
9.79,-6.22598336456267
9.8,-6.14329238553947
9.81,-6.06597107301516
9.82,-5.99599099389266
9.83,-5.93509853665801
9.84,-5.88482849859193
9.85,-5.84652544649546
9.86,-5.8213691884161
9.87,-5.81040146516096
9.88,-5.81455167846143
9.89,-5.83466004704639
9.9,-5.87149699582333
9.91,-5.92577783561654
9.92,-5.99817189216508
9.93,-6.08930520727402
9.94,-6.19975577474503
9.95,-6.33003999914623
9.96,-6.48058868643207
9.97,-6.65171040734598
9.98,-6.84353955023167
9.99,-7.05596587020266
10,-7.28854199019282
10.01,-7.54036538705478
10.02,-7.80993237822416
10.03,-8.09496428440684
10.04,-8.3922114176763
10.05,-8.69725026042803
10.06,-9.00430443717717
10.07,-9.30614079494898
10.08,-9.59411452558688
10.09,-9.85845181565186
10.1,-10.0888473420031
10.11,-10.2753967635866
10.12,-10.4097742127405
10.13,-10.4864301169898
10.14,-10.5034957295977
10.15,-10.4631140614916
10.16,-10.3710884128757
10.17,-10.2359700432771
10.18,-10.0678711975053
10.19,-9.87731449580276
10.2,-9.67433579250851
10.21,-9.46792295405492
10.22,-9.26576585505776
10.23,-9.07423908561862
10.24,-8.89852999341526
10.25,-8.74284029272154
10.26,-8.61061231476506
10.27,-8.50475154031001
10.28,-8.4278320754488
10.29,-8.38228130933656
10.3,-8.37054546214539
10.31,-8.39524054376714
10.32,-8.45929456409025
10.33,-8.5660875000679
10.34,-8.71959613577461
10.35,-8.9245519542876
10.36,-9.18662233321032
10.37,-9.51262917271359
10.38,-9.91082605356115
10.39,-10.3912672912016
10.4,-10.9663237296646
10.41,-11.6514379310187
10.42,-12.4662789664033
10.43,-13.4365801887562
10.44,-14.5971721220583
10.45,-15.9971441954964
10.46,-17.708752085227
10.47,-19.8419029876142
10.48,-22.5567794681671
10.49,-25.9578056193109
10.5,-28.9262054739358
10.51,-27.8321981862555
10.52,-24.6431880953188
10.53,-21.9462535233362
10.54,-19.8966067096927
10.55,-18.3212130843885
10.56,-17.0848908749462
10.57,-16.0984964554437
10.58,-15.3025543754242
10.59,-14.6558540283558
10.6,-14.1286967659675
10.61,-13.6988911494195
10.62,-13.3492954290638
10.63,-13.0662454246192
10.64,-12.8385058161214
10.65,-12.6565430444359
10.66,-12.5120052155879
10.67,-12.397343837816
10.68,-12.3055417411786
10.69,-12.2299300297379
10.7,-12.1640885445545
10.71,-12.1018305406988
10.72,-12.0372730659374
10.73,-11.9649893248703
10.74,-11.8802282136313
10.75,-11.7791711649369
10.76,-11.6591819294847
10.77,-11.5189972203252
10.78,-11.3588108435876
10.79,-11.1802225804869
10.8,-10.9860512441101
10.81,-10.7800399549916
10.82,-10.5665013776614
10.83,-10.3499562386948
10.84,-10.1348107136869
10.85,-9.92510245498051
10.86,-9.72432748743885
10.87,-9.53534567503986
10.88,-9.3603530811748
10.89,-9.20090524475481
10.9,-9.05797493569823
10.91,-8.9320298289925
10.92,-8.82311847807946
10.93,-8.73095611224815
10.94,-8.65500463768213
10.95,-8.59454356666521
10.96,-8.54873038175714
10.97,-8.51665010147621
10.98,-8.4973546336351
10.99,-8.48989297711361
11,-8.49333355370793
11.01,-8.5142862384146
11.02,-8.54423021390689
11.03,-8.58344719054933
11.04,-8.63225335607818
11.05,-8.69099564726297
11.06,-8.76004613209984
11.07,-8.83979375576388
11.08,-8.93063248045173
11.09,-9.03294457969719
11.1,-9.14707753907541
11.11,-9.27331269308078
11.12,-9.41182345191477
11.13,-9.56262085993142
11.14,-9.72548449161832
11.15,-9.89987768261146
11.16,-10.0848483459834
11.17,-10.2789208590996
11.18,-10.4799915222498
11.19,-10.6852504007041
11.2,-10.8911654099871
11.21,-11.0935773875469
11.22,-11.2879609933471
11.23,-11.4698951506457
11.24,-11.6357476317596
11.25,-11.7835091423617
11.26,-11.9136304078725
11.27,-12.0296611406588
11.28,-12.1385063486433
11.29,-12.2502168553071
11.3,-12.3773784736382
11.31,-12.534285986989
11.32,-12.7361274878016
11.33,-12.9983548245968
11.34,-13.3363098395519
11.35,-13.7650478330542
11.36,-14.2991471457327
11.37,-14.9520492539482
11.38,-15.7339598313595
11.39,-16.6461907035299
11.4,-17.6675184508955
11.41,-18.7254289521007
11.42,-19.6518994296764
11.43,-20.1725475584712
11.44,-20.0493664117697
11.45,-19.3144052337408
11.46,-18.2361784728928
11.47,-17.0780558109057
11.48,-15.9914010327223
11.49,-15.0409279259396
11.5,-14.2476146679646
11.51,-13.6144592613141
11.52,-13.1386202676199
11.53,-12.8167334478569
11.54,-12.647275276591
11.55,-12.6317768416978
11.56,-12.7757058553408
11.57,-13.089422806375
11.58,-13.5894608002424
11.59,-14.3002929544818
11.6,-15.2564862124332
11.61,-16.5038288135995
11.62,-18.0918289544666
11.63,-20.0218027959161
11.64,-22.0117720540659
11.65,-22.9707972043954
11.66,-21.8514488960037
11.67,-19.6485462072402
