"Freq [GHz]","dB(S(1,1)) []"
11.68,-17.4835006135185
11.69,-15.6566345584984
11.7,-14.1702192023148
11.71,-12.9744238101594
11.72,-12.0222935169053
11.73,-11.2778170552118
11.74,-10.7147287239461
11.75,-10.313996058771
11.76,-10.0613654924941
11.77,-9.94488487147723
11.78,-9.95196906303908
11.79,-10.0654855323419
11.8,-10.2584991291195
11.81,-10.4881802727968
11.82,-10.6917491212536
11.83,-10.791076845926
11.84,-10.7129791157195
11.85,-10.4203279629288
11.86,-9.9305405635608
11.87,-9.30310302602333
11.88,-8.60879293701666
11.89,-7.90589709486531
11.9,-7.23245758280926
11.91,-6.60878620722104
11.92,-6.04298253012148
11.93,-5.5358435784806
11.94,-5.08427934497124
11.95,-4.6834217424538
11.96,-4.32783087164382
11.97,-4.01213887787605
11.98,-3.73136319304393
11.99,-3.48103356834824
12,-3.25721876367763
12.01,-3.05650243763693
12.02,-2.87593609142066
12.03,-2.71298425466347
12.04,-2.5654698304043
12.05,-2.43152341330895
12.06,-2.30953813142825
12.07,-2.19813035458702
12.08,-2.09610600501939
12.09,-2.00243193289966
12.1,-1.91621172810762
12.11,-1.83666534261713
12.12,-1.76311194614366
12.13,-1.69495550402002
12.14,-1.63167263626945
12.15,-1.5728023832828
12.16,-1.51793756318273
12.17,-1.46671745785259
12.18,-1.41882160882738
12.19,-1.3739645414362
12.2,-1.33189126659835
12.21,-1.29237343539441
12.22,-1.25520604279182
12.23,-1.22020459444071
12.24,-1.18720266491313
12.25,-1.15604978767689
12.26,-1.12660962692778
12.27,-1.09875838952462
12.28,-1.07238344198836
12.29,-1.04738210309285
12.3,-1.02366058719477
12.31,-1.00113307729562
12.32,-0.979720910033284
12.33,-0.959351857479969
12.34,-0.939959492867426
12.35,-0.921482629244087
12.36,-0.903864821655125
12.37,-0.887053924773963
12.38,-0.871001699045429
12.39,-0.855663459359757
12.4,-0.840997761091515
12.41,-0.826966119031653
12.42,-0.813532755333072
12.43,-0.80066437309695
12.44,-0.788329952661606
12.45,-0.776500568028859
12.46,-0.765149221184449
12.47,-0.754250692346331
12.48,-0.743781404414553
12.49,-0.733719300104255
12.5,-0.724043730423486
12.51,-0.714735353314683
12.52,-0.705776041415082
12.53,-0.697148798010869
12.54,-0.688837680364037
12.55,-0.680827729682496
12.56,-0.673104907084122
12.57,-0.665656034975917
12.58,-0.658468743331663
12.59,-0.65153142040604
12.6,-0.644833167471702
12.61,-0.638363757208462
12.62,-0.632113595411675
12.63,-0.626073685720535
12.64,-0.620235597096851
12.65,-0.614591433811448
12.66,-0.60913380771899
12.67,-0.603855812623152
12.68,-0.598751000552916
12.69,-0.593813359787607
12.7,-0.589037294483424
12.71,-0.584417605767674
12.72,-0.579949474179142
12.73,-0.575628443343885
12.74,-0.57145040478552
12.75,-0.567411583777998
12.76,-0.563508526156694
12.77,-0.559738086010922
12.78,-0.556097414187388
12.79,-0.552583947539998
12.8,-0.549195398866718
12.81,-0.545929747478971
12.82,-0.542785230353433
12.83,-0.539760333819986
12.84,-0.536853785743189
12.85,-0.53406454815793
12.86,-0.531391810322742
12.87,-0.528834982157131
12.88,-0.526393688031558
12.89,-0.524067760881056
12.9,-0.521857236615446
12.91,-0.51976234880101
12.92,-0.517783523590122
12.93,-0.515921374876996
12.94,-0.514176699659006
12.95,-0.512550473584473
12.96,-0.511043846668889
12.97,-0.509658139162743
12.98,-0.508394837555072
12.99,-0.507255590697843
13,-0.506242206037079
